p,d,q,AIC
0,0,0,17389.846638274303
0,0,1,15172.048128224324
0,0,2,13400.940737444038
0,0,3,12069.616356262306
0,1,0,6795.121788885623
0,1,1,6772.498458461443
0,1,2,6769.152131399445
0,1,3,6766.901646647416
0,2,0,8157.936663652703
0,2,1,6793.8583194772855
0,2,2,6767.787040316546
0,2,3,6765.855271818351
1,0,0,6810.875396963048
1,0,1,6788.333966063659
1,0,2,6784.96490378158
1,0,3,6782.690271349735
1,1,0,6770.555143345667
1,1,1,6772.062053246907
1,1,2,6769.674123436954
1,1,3,6766.143990039592
1,2,0,7488.561916095367
1,2,1,6766.028886759146
1,2,2,6767.807637734236
1,2,3,6771.316689067919
2,0,0,6786.386567654633
2,0,1,6814.128996289575
2,0,2,6792.335012883304
2,0,3,6781.948778488346
2,1,0,6771.504696790858
2,1,1,6771.567595047293
2,1,2,6763.105298565913
2,1,3,6765.104693235324
2,2,0,7207.176571053058
2,2,1,6767.597097431959
2,2,2,6768.120510919055
2,2,3,6760.110252847691
3,0,0,6787.3264708989645
3,0,1,6788.829613794729
3,0,2,6784.568498144338
3,0,3,6774.786177395811
3,1,0,6765.62474577968
3,1,1,6766.8705721786
3,1,2,6765.104582277429
3,1,3,6767.104586101932
3,2,0,7132.788107381887
3,2,1,6763.325062359457
3,2,2,6764.320474655069
3,2,3,6753.16584945726
